City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,stanley,54.868,-1.6985,280.47,89,0,3.09,GB,1731279040
168,sarmiento,-45.5882,-69.07,285.16,52,100,7.76,AR,1731278787
169,katabu,-4.9333,122.5167,299.86,85,42,1.68,ID,1731279042
170,el maamoura,36.465,10.8061,291.72,76,100,2.09,TN,1731279043
171,arenapolis,-14.4503,-56.8461,296.99,82,57,2.32,BR,1731279044
172,port augusta,-32.5,137.7667,298.82,41,84,2.6,AU,1731279045
173,georgetown,5.4112,100.3354,300.11,89,40,1.54,MY,1731278655
174,bredasdorp,-34.5322,20.0403,287.28,81,88,2.7,ZA,1731279047
175,newcastle,-32.9272,151.7765,295.77,79,75,5.66,AU,1731278743
176,malindi,-3.2175,40.1191,299.36,87,60,3.87,KE,1731279049
177,lauro de freitas,-12.8944,-38.3272,300.16,74,75,5.14,BR,1731279051
178,punta arenas,-53.15,-70.9167,283.21,43,40,11.83,CL,1731279052
179,winnemucca,40.973,-117.7357,291.18,17,0,5.14,US,1731279053
180,yellowknife,62.456,-114.3525,261.44,85,75,4.12,CA,1731279054
181,fort st. john,56.2499,-120.8529,274.09,69,75,4.12,CA,1731279055
182,iquique,-20.2208,-70.1431,291.27,77,44,0.44,CL,1731278922
183,saint-sulpice-la-pointe,43.7742,1.6874,286.92,80,100,3.11,FR,1731279057
184,ambalavao,-21.8333,46.9333,292.1,90,98,1.25,MG,1731279058
185,cadale,2.7603,46.3222,299.4,82,98,3.2,SO,1731279059
186,qaqortoq,60.7167,-46.0333,269.24,76,100,4.24,GL,1731279060
187,tual,-5.6667,132.75,301.61,78,84,5.62,ID,1731279061
188,wotho,10.1657,166.0102,300.83,81,15,8.09,MH,1731279063
189,jacmel,18.2342,-72.5347,299.58,87,100,1.73,HT,1731279064
190,ust'-ilimsk,58.0006,102.6619,268.18,75,74,3.69,RU,1731279065
191,uturoa,-16.7333,-151.4333,300.49,81,91,6.17,PF,1731279066
192,takoradi,4.8845,-1.7554,299.19,84,16,1.95,GH,1731279067
193,amalapuram,16.5833,82.0167,295.44,84,100,1.42,IN,1731279068
194,neiafu,-18.65,-173.9833,301.53,69,75,8.23,TO,1731279069
